iter	Passed	Remaining
669	818	403
670	819	401
671	820	400
672	821	398
673	822	397
674	823	396
675	824	395
676	825	393
677	826	392
678	827	391
679	827	389
680	829	388
681	830	387
682	831	385
683	832	384
684	833	383
685	834	381
686	835	380
687	836	379
688	837	377
689	838	376
690	839	375
691	840	373
692	841	372
693	842	371
694	843	370
695	844	368
696	845	367
697	846	366
698	846	364
699	848	363
700	849	362
701	851	361
702	852	360
703	853	359
704	855	357
705	856	356
706	857	355
707	858	354
708	859	352
709	860	351
710	861	350
711	862	348
712	864	347
713	865	346
714	865	345
715	867	344
716	868	342
717	869	341
718	870	340
719	871	338
720	871	337
721	873	336
722	875	335
723	876	334
724	877	332
725	878	331
726	879	330
727	880	328
728	881	327
729	882	326
730	883	324
731	884	323
732	885	322
733	886	321
734	887	319
735	888	318
736	889	317
737	890	316
738	891	314
739	892	313
740	893	312
741	894	310
742	895	309
743	896	308
744	897	307
745	898	305
746	899	304
747	900	303
748	901	302
749	902	300
750	903	299
751	904	298
752	905	296
753	906	295
754	907	294
755	908	293
756	909	291
757	910	290
758	911	289
759	912	288
760	913	286
761	914	285
762	915	284
763	916	283
764	917	281
765	918	280
766	919	279
767	921	278
768	922	277
769	923	275
770	924	274
771	925	273
772	926	272
773	928	270
774	929	269
775	930	268
776	931	267
777	938	267
778	939	266
779	940	265
780	942	264
781	942	262
782	943	261
783	944	260
784	945	259
785	947	257
786	948	256
787	949	255
788	950	254
789	952	253
790	954	252
791	955	250
792	956	249
793	957	248
794	958	247
795	959	245
796	960	244
797	961	243
798	963	242
799	964	241
800	966	239
801	967	238
802	968	237
803	968	236
804	969	234
805	970	233
806	972	232
807	973	231
808	974	230
809	975	228
810	976	227
811	978	226
812	979	225
813	980	223
814	981	222
815	982	221
816	985	220
817	986	219
818	987	218
819	988	216
820	990	216
821	992	214
822	993	213
823	994	212
824	995	211
825	997	210
826	998	208
827	999	207
828	1000	206
829	1001	205
830	1002	203
831	1004	202
832	1005	201
833	1006	200
834	1007	198
835	1009	197
836	1010	196
837	1011	195
838	1012	194
839	1013	193
840	1014	191
841	1015	190
842	1016	189
843	1017	188
844	1018	186
845	1020	185
846	1021	184
847	1022	183
848	1023	182
849	1024	180
850	1025	179
851	1027	178
852	1028	177
853	1029	175
854	1030	174
855	1031	173
856	1032	172
857	1034	171
858	1035	169
859	1036	168
860	1037	167
861	1038	166
862	1040	165
863	1041	163
864	1042	162
865	1043	161
866	1044	160
867	1046	159
868	1047	157
869	1048	156
870	1049	155
871	1050	154
872	1051	153
873	1053	151
874	1054	150
875	1055	149
876	1056	148
877	1057	146
878	1059	145
879	1060	144
880	1061	143
881	1062	142
882	1063	140
883	1064	139
884	1065	138
885	1066	137
886	1068	136
887	1069	134
888	1070	133
889	1071	132
890	1072	131
891	1073	130
892	1074	128
893	1075	127
894	1077	126
895	1078	125
896	1079	123
897	1080	122
898	1080	121
899	1082	120
900	1083	119
901	1084	117
902	1085	116
903	1086	115
904	1088	114
905	1089	113
906	1090	111
907	1091	110
908	1093	109
909	1094	108
910	1095	107
911	1097	105
912	1098	104
913	1099	103
914	1100	102
915	1110	101
916	1111	100
917	1112	99
918	1113	98
919	1114	96
920	1116	95
921	1117	94
922	1118	93
923	1118	92
924	1119	90
925	1121	89
926	1122	88
927	1123	87
928	1124	85
929	1125	84
930	1126	83
931	1128	82
932	1129	81
933	1130	79
934	1131	78
935	1132	77
936	1134	76
937	1135	75
938	1136	73
939	1137	72
940	1138	71
941	1139	70
942	1140	68
943	1141	67
944	1142	66
945	1143	65
946	1144	64
947	1146	62
948	1147	61
949	1148	60
950	1149	59
951	1150	58
952	1152	56
953	1153	55
954	1154	54
955	1155	53
956	1156	51
957	1157	50
958	1158	49
959	1159	48
960	1160	47
961	1161	45
962	1162	44
963	1164	43
964	1165	42
965	1166	41
966	1167	39
967	1167	38
968	1168	37
969	1170	36
970	1172	35
971	1173	33
972	1174	32
973	1175	31
974	1177	30
975	1178	28
976	1179	27
977	1180	26
978	1181	25
979	1182	24
980	1183	22
981	1184	21
982	1185	20
983	1187	19
984	1187	18
985	1189	16
986	1189	15
987	1190	14
988	1191	13
989	1193	12
990	1194	10
991	1196	9
992	1197	8
993	1198	7
994	1199	6
995	1201	4
996	1202	3
997	1203	2
998	1204	1
999	1205	0
